name,started,status_2026,owner_2026,source
Friendster,"Founded 2002 by Jonathan Abrams, public beta March 2003","Relaunched April 29, 2026 as an iOS-only app","Friendster Labs Inc., run by programmer Mike Carson",https://404memoryfound.com/posts/what-happened-to-friendster-social-network.html
Fry's Electronics,"May 17, 1985, Sunnyvale, California","Closed since February 24, 2021",,https://404memoryfound.com/posts/what-happened-to-frys-electronics.html
G4 TV,"April 24, 2002, as a Comcast cable venture",Off the air; the G4 brand is owned by Comcast Spectacor,,https://404memoryfound.com/posts/g4-tv-failed-twice.html
Game Boy,"July 31, 1989 in the United States, $89.95, Nintendo",Sold used only; about $70 for a tested working original in 2026,,https://404memoryfound.com/posts/buy-working-game-boy-2026.html
Game Genie,"1990, designed by Codemasters, sold in the US by Galoob",Discontinued; Galoob owned by Hasbro since 1998; loose units about $22,,https://404memoryfound.com/posts/what-happened-to-game-genie-galoob-cheat-device.html
Game Informer,"1991, as a FuncoLand store handout","Publishing, 10 print issues a year; issue 381 is the 35th anniversary","Gunzilla Games, since March 25, 2025",https://404memoryfound.com/posts/who-owns-game-informer-now.html
GameStop,"1984 in Dallas, Texas, as Babbage's",Still in business; video game software is under 12 percent of sales,,https://404memoryfound.com/posts/is-gamestop-still-in-business.html
Gateway Computers,"September 5, 1985, on a cattle ranch near Sioux City, Iowa",A brand only: Walmart-exclusive laptops and tablets since September 2020,"Acer Inc., which bought Gateway in 2007 for $710 million",https://404memoryfound.com/posts/what-happened-to-gateway-2000-cow-box-computer.html
GeoCities,"1994 as Beverly Hills Internet, founded by David Bohnett and John Rezner",Closed. No GeoCities page has been served from geocities.com since 2009,"Yahoo Inc., owned by funds managed by affiliates of Apollo Global Management since September 2021",https://404memoryfound.com/posts/history-of-geocities-websites.html
GoldenEye 007,"1997, developed by Rare, published by Nintendo for the Nintendo 64","Playable on Nintendo Switch Online + Expansion Pack and Xbox Game Pass since January 27, 2023",Microsoft owns Rare and the game code; Nintendo published the original; MGM and Eon Productions own James Bond,https://404memoryfound.com/posts/what-happened-to-goldeneye-007-n64.html
Google Glass,"Explorer Edition, February 2013, $1,500","Discontinued. Sales ended March 15, 2023",,https://404memoryfound.com/posts/why-google-glass-actually-failed.html
Google Reader,"October 7, 2005, through Google Labs",Gone. No revival announced as of September 2026,,https://404memoryfound.com/posts/what-happened-to-google-reader-rss.html
Google+,"June 28, 2011, invitation only","Shut down. The consumer version closed on April 2, 2019","Google, which retired the last version, Google Currents, on July 5, 2023",https://404memoryfound.com/posts/why-google-plus-actually-failed.html
Habbo Hotel,"August 2000 in Finland as Hotelli Kultakala; UK hotel January 2001, US hotel September 2004","Active in 2026: 300 million registered accounts, hundreds of thousands of monthly active users, plus Habbo Hotel: Origins","Azerion, which took 51 percent in 2018 and the remaining 49 percent in January 2021",https://404memoryfound.com/posts/is-habbo-hotel-still-around.html
HD DVD,"April 18, 2006, Toshiba HD-A1 at $499","Discontinued since February 19, 2008; existing discs and players still work","Toshiba is private, bought out by a Japan Industrial Partners consortium in 2023",https://404memoryfound.com/posts/what-happened-to-hd-dvd-format-war.html
Heelys,"2000, by Roger Adams through Heeling Sports Limited of Carrollton, Texas","Still made and sold new in 2026, roughly $60 to $75 a pair","BBC International, which bought the brand for $11 million on April 26, 2021",https://404memoryfound.com/posts/heelys-still-sold-2026.html
Hollywood Video,"October 1988, Hollywood Entertainment Corporation",Gone. The last US stores were liquidated in 2010,,https://404memoryfound.com/posts/is-hollywood-video-still-around.html
Homestar Runner,"January 1, 2000, by Mike Chapman and Matt Chapman","Still updating in 2026, on no fixed schedule","The Brothers Chaps, independent and ad-free",https://404memoryfound.com/posts/homestar-runner-still-updating.html
Hotmail,"July 4, 1996, by Sabeer Bhatia and Jack Smith",Brand retired May 2013; @hotmail.com addresses still work on Outlook.com,"Microsoft, since December 31, 1997",https://404memoryfound.com/posts/why-everyone-had-hotmail-account.html
HotWired,"October 27, 1994, on HotWired",US display advertising worth $81.6 billion in 2025 (IAB and PwC),,https://404memoryfound.com/posts/first-banner-ad-hotwired-1994-history.html
HyperCard,"August 11, 1987, Apple Computer, written by Bill Atkinson","Discontinued March 2004, stacks emulated free at the Internet Archive",,https://404memoryfound.com/posts/what-happened-to-hypercard-apple.html
ICQ,"November 1996, by Mirabilis in Tel Aviv","Shut down on June 26, 2024, after 28 years","VK Company Limited, formerly Mail.ru Group",https://404memoryfound.com/posts/what-happened-to-icq-instant-messenger.html
iMac G3,"Announced May 6, 1998; on sale August 15, 1998",Discontinued March 2003; the iMac line continues,,https://404memoryfound.com/posts/how-imac-g3-saved-apple-killed-beige-box.html
Iomega,"March 1995, $199 drive and $19.95 100MB disks",Brand retired; the LenovoEMC line ended in 2018,"Dell Technologies, through EMC's 2008 purchase",https://404memoryfound.com/posts/what-happened-to-iomega-zip-drives.html
iPod,,"Discontinued. Apple ended the iPod line on May 10, 2022",,https://404memoryfound.com/posts/ipod-wasnt-first-mp3-player-heres-why-it-won.html
IRC,"August 1988, by Jarkko Oikarinen at the University of Oulu, Finland","Active. The top 100 IRC networks carried more than 162,000 users at a time in April 2026","Nobody. IRC is an open protocol, and each network is run separately",https://404memoryfound.com/posts/what-happened-to-irc-chat.html
Iridium,"Commercial service 1 November 1998, Iridium LLC, backed by Motorola","Iridium Communications (Nasdaq: IRDM), 2,537,000 billable subscribers at the end of 2025",,https://404memoryfound.com/posts/iridium-satellite-phone-failure.html
Kazaa,"March 2001, by the Dutch company Consumer Empowerment",Shut down; the licensed service stopped in August 2012,None active. Atrinsic held the license and filed for Chapter 11 in June 2012,https://404memoryfound.com/posts/what-happened-to-kazaa-p2p-wars.html
KB Toys,"1922 in Pittsfield, Massachusetts, as Kaufman Brothers","Brand only: online collectibles and convention pop-ups, no stores","Strategic Marks, LLC; licensing run by Firefly Brand Management since 2024",https://404memoryfound.com/posts/kb-toys-stores-left.html
Kinko's,"1970 in Isla Vista, California, by Paul Orfalea","No US Kinko's; FedEx Office runs roughly 2,000 US stores. Owner today: FedEx, while Konica Minolta owns Kinko's Japan",,https://404memoryfound.com/posts/is-kinkos-still-around.html
Kmart,,"Open, plus Kmart.com shipping to the 50 states and APO/FPO addresses","Transform SR Brands LLC (Transformco), tied to Edward Lampert",https://404memoryfound.com/posts/is-kmart-still-open-stores-left.html
Kodak,,In business and profitable; Q2 2026 net income of 17 million dollars,"Independent, publicly traded as NYSE: KODK; no parent company",https://404memoryfound.com/posts/what-happened-to-kodak-digital-camera-bankruptcy.html
Kozmo,March 1998 in New York by Joseph Park and Yong Kang,"Defunct since April 11, 2001; the domain is dark","Yummy Foods, LLC (Yummy.com), Los Angeles, since January 2013",https://404memoryfound.com/posts/what-happened-to-kozmo-com-delivery.html
LAN parties,,"Still running: QuakeCon held its BYOC hall August 6 to 9, 2026",,https://404memoryfound.com/posts/golden-age-of-lan-parties.html
LaserDisc,"1978 in the United States, as MCA DiscoVision, with Jaws as the first title","Dead format. Common discs under $5, scarce pressings $160 to $5,700",,https://404memoryfound.com/posts/laserdisc-value-collector-market.html
LimeWire,"August 2000, Lime Group LLC, on the Gnutella network",Brand active as an AI and storage platform; file sharing dead since 2010,"BabyDoge, since September 14, 2026",https://404memoryfound.com/posts/what-happened-to-limewire-file-sharing.html
LiveJournal,"April 15, 1999, by Brad Fitzpatrick","Online, mostly Russian-language","Rambler Group, fully owned by Sber since October 2020",https://404memoryfound.com/posts/what-happened-to-livejournal-blogging-platform.html
Lotus 1-2-3,"January 26, 1983, Lotus Development Corporation","Discontinued. Withdrawn from marketing June 11, 2013, support ended September 30, 2014","IBM, which bought Lotus Development Corporation in 1995 for about $3.5 billion",https://404memoryfound.com/posts/what-happened-to-lotus-1-2-3-spreadsheet.html
Lycos,"July 1994, Carnegie Mellon University, by Michael Mauldin","Portal still online; Angelfire and Tripod closed April 24, 2026","Lycos Inc., a Brightcom Group subsidiary; a 56 percent stake in receivership since 2018",https://404memoryfound.com/posts/what-happened-to-lycos-search-engine.html
MapQuest,"February 5, 1996, at mapquest.com","Still live at mapquest.com, with apps for iPhone and Android","System1, which bought it from Verizon in October 2019",https://404memoryfound.com/posts/how-mapquest-lost-to-google-maps.html
Microsoft Bob,"March 10, 1995, by Microsoft, at $99",Discontinued and unsupported; free disk images on the Internet Archive,Microsoft still owns Bob; the bob.com domain went to collector Bob Kerstein in 1999,https://404memoryfound.com/posts/what-happened-to-microsoft-bob-friendly-interface.html
Microsoft Zune,"November 14, 2006, $249.99 for 30 GB","Discontinued; hardware ended in 2011, services ended November 15, 2015","Microsoft, which folded the brand into Xbox Music in 2012",https://404memoryfound.com/posts/why-microsoft-zune-actually-failed.html
MiniDisc,,"Discontinued. Last players sold March 2013, blank discs ended February 2025",Sony still owns the format and the trademark but sells nothing for it,https://404memoryfound.com/posts/what-happened-to-minidisc-sony.html
Montgomery Ward,"August 1872, Chicago, by Aaron Montgomery Ward with $1,600 in capital and a one-sheet catalog",No stores anywhere. Montgomery Ward sells online at wards.com on installment credit,"Colony Brands Inc., a family-owned direct-mail company, since 2008",https://404memoryfound.com/posts/montgomery-ward-failed-who-owns-it.html
MSN Messenger,"July 22, 1999, as MSN Messenger Service","Dead at Microsoft, playable for free on the fan server Escargot",Microsoft still owns the MSN name; Escargot is independent of it,https://404memoryfound.com/posts/what-happened-to-msn-messenger.html
MTV,"August 1, 1981, with the Buggles' Video Killed the Radio Star","On air in the US and UK; five music-only channels closed December 31, 2025","Paramount Skydance Corporation, since August 7, 2025",https://404memoryfound.com/posts/when-mtv-actually-played-music-rise-fall.html
MySpace,,"Online at myspace.com, reported read-only since 2024","Viant Technology Inc. (Nasdaq: DSP), Irvine, California",https://404memoryfound.com/posts/is-myspace-still-around-today.html
Napster,,"Music streaming shut down January 1, 2026; the brand now sells AI software","Napster Corporation, formerly Infinite Reality, since March 2025",https://404memoryfound.com/posts/who-owns-napster-now.html
NCSA Mosaic,"January 23, 1993, by NCSA at the University of Illinois","Discontinued. Final release Mosaic 3.0, January 7, 1997",University of Illinois holds the name and copyright,https://404memoryfound.com/posts/what-happened-to-ncsa-mosaic-browser.html
Neopets,"November 15, 1999, by Adam Powell and Donna Williams",Online and free to play at neopets.com,"World of Neopia, Inc., independent since July 2023",https://404memoryfound.com/posts/what-happened-to-neopets-virtual-world.html
NES,"Famicom in Japan July 15, 1983; NES tested in New York October 18, 1985",Hardware retired; 87 NES games on Nintendo Switch Online in September 2026,,https://404memoryfound.com/posts/how-nintendo-nes-saved-video-games-1983-crash.html
Netflix,"April 14, 1998, as the first online DVD rental store","Closed. Final discs mailed September 29, 2023, and never revived",,https://404memoryfound.com/posts/netflix-dvd-mail-service-shutdown.html
Netscape Navigator,"Netscape Navigator, December 1994, Netscape Communications","Discontinued; AOL ended Netscape browser support March 1, 2008",The NETSCAPE trademark (US Reg. 2027552) is held by Yahoo Inc.,https://404memoryfound.com/posts/how-netscape-lost-the-browser-war.html
Newgrounds Is,"July 6, 1995, by Tom Fulp, from a 1991 paper fanzine","Online and independent in 2026, 31 years after launch","Newgrounds, Inc., never sold, no outside investors",https://404memoryfound.com/posts/what-happened-to-newgrounds.html
Nintendo GameCube,"September 14, 2001 in Japan, November 18, 2001 in North America at $199.99",Out of production since 2007; the library runs on Nintendo Switch 2,"Nintendo, which launched GameCube Nintendo Classics on June 5, 2025",https://404memoryfound.com/posts/why-nintendo-gamecube-lost-console-war.html
Nintendo Wii,"November 19, 2006 in North America at $249.99","Discontinued October 21, 2013; consoles still play discs offline",,https://404memoryfound.com/posts/what-happened-to-nintendo-wii.html
Nokia,,No new Nokia-branded smartphones since early 2025; no HMD or Nokia phones sold in the US since July 2025,"Nokia Corporation, Espoo, Finland, a network equipment maker with EUR 19,889 million in 2025 net sales",https://404memoryfound.com/posts/does-nokia-still-make-phones.html
Nokia 3310,"Announced September 1, 2000, on sale in the fourth quarter","Second-hand only, and it cannot place calls on a US network",Nokia Corporation owns the brand; HMD Global's device licence ended in March 2026,https://404memoryfound.com/posts/what-happened-to-nokia-3310.html
Nokia N-Gage,"October 7, 2003, $299.99 in the United States","Discontinued; hardware ended November 2005, service closed September 2010","Nokia Corporation, which still holds the N-Gage trademark",https://404memoryfound.com/posts/what-happened-to-nokia-ngage-gaming-phone.html
NSA Banned Furby,"October 1998, Tiger Electronics (owned by Hasbro since early 1998)","Relaunched by Hasbro in 2012, 2016 and 2023; 1998 originals trade on eBay",,https://404memoryfound.com/posts/furby-history-nsa-ban.html
Oregon Trail,,"Still sold new in 2026, on Steam, Switch, Xbox and Apple Arcade","HarperCollins, through HarperCollins Productions; Gameloft holds the game license",https://404memoryfound.com/posts/what-happened-to-oregon-trail-game.html
Original Xbox,"November 15, 2001 in the US, at $299","Discontinued; its Xbox Live service was switched off on April 15, 2010","Microsoft, which still runs the Xbox brand",https://404memoryfound.com/posts/what-happened-to-original-xbox-microsoft-gaming.html
Packard Bell,"1986, Packard Bell Electronics, Inc., on a brand name dating to a 1933 Los Angeles radio maker","Relaunched September 2026 in Europe, the Middle East and Africa; the DotBook laptop starts at 499 euros","Acer Inc., which took over Packard Bell in 2008 after buying Gateway",https://404memoryfound.com/posts/packard-bell-computer-brand-today.html
Palm,"1992, by Jeff Hawkins with Donna Dubinsky and Ed Colligan","Dormant brand, no new Palm phone since the 3.3-inch model of November 2018","TCL, which bought the Palm trademark from HP in October 2014",https://404memoryfound.com/posts/is-palm-still-a-company.html
Palm Pilot,"March 1996, Pilot 1000, $299, Palm Computing under U.S. Robotics","Discontinued. Trademark owned by TCL, webOS owned by LG",,https://404memoryfound.com/posts/what-happened-to-palm-pilot-pda.html
Payphones,,"Still operating, but uncounted since the FCC dropped payphone audits in 2018",,https://404memoryfound.com/posts/payphones-left-united-states.html
Pets.com,"Domain registered November 21, 1994; store opened November 1998; incorporated February 1999",Gone. Renamed IPET Holdings and delisted from Nasdaq in January 2001,"PetSmart, which bought the domain and trademarks in December 2000",https://404memoryfound.com/posts/why-pets-com-failed-dot-com-bubble.html
Photobucket,"2003, by Alex Welch and Darren Crystal","Alive, subscription only. No free accounts since June 2023","Photobucket Inc., privately held, Denver, Colorado",https://404memoryfound.com/posts/is-photobucket-still-around.html
PizzaNet,,PizzaNet is gone; Pizza Hut takes orders through its own site and app,"LongRange Capital, which completed its purchase from Yum! Brands on September 1, 2026",https://404memoryfound.com/posts/first-online-purchase-pizza.html
Polaroid,"1937 in Cambridge, Massachusetts, by Edwin Land",Still trading; cameras and film sold worldwide,"The Smolokowski family, through Polaroid B.V. in the Netherlands",https://404memoryfound.com/posts/what-happened-to-polaroid-camera.html
Power Glove,"October 1989, Mattel in the US and PAX in Japan","Collector item and maker platform, about $100 loose and $216 boxed on PriceCharting in 2026",,https://404memoryfound.com/posts/what-happened-to-nintendo-power-glove.html
Prodigy,"September 6, 1990 nationwide, as an IBM and Sears joint venture","Closed. Prodigy Classic shut down October 1, 1999; the company was taken private in 2001",AT&amp;T holds prodigy.net; Telmex holds prodigy.net.mx,https://404memoryfound.com/posts/what-happened-to-prodigy-online-service.html
PS2,"March 4, 2000 in Japan; October 26, 2000 in North America at $299",Discontinued in January 2013; still the best-selling console ever,,https://404memoryfound.com/posts/playstation-2-best-selling-console-ever.html
PSP,"December 12, 2004 in Japan; March 24, 2005 in the US","Discontinued, no Sony support; PSP downloads run through the PS3 and PS Vita stores until July 2027",,https://404memoryfound.com/posts/what-happened-to-sony-psp-handheld.html
Quake,"Shareware episode, June 22, 1996, id Software","Still sold and still played. A free 19-map episode, Dawn of the Machine, shipped August 6, 2026 for the 30th anniversary","id Software, part of ZeniMax Media, a Microsoft subsidiary since March 9, 2021",https://404memoryfound.com/posts/what-happened-to-quake-online-fps.html
